affiliate_id;created_at;date;updated_at;amount;status;type;fee_id
68;2010-10-01 00:00:00;2011-10-01 00:00:00;2023-08-21;260;Pagado;cash;1
68;2011-11-01 00:00:00;2012-01-01 00:00:00;2024-07-12;300;Pagado;cash;1
70;2000-09-01 00:00:00;2001-06-01 00:00:00;2002-06-18;200;Pagado;cash;1
70;2001-07-01 00:00:00;2002-04-01 00:00:00;2002-07-23;200;Pagado;cash;1
70;2002-05-01 00:00:00;2002-08-01 00:00:00;2002-08-29;80;Pagado;cash;1
70;2002-09-01 00:00:00;2002-09-01 00:00:00;2002-10-08;20;Pagado;cash;1
70;2004-08-01 00:00:00;2004-12-01 00:00:00;2004-12-14;100;Pagado;cash;1
70;2005-01-01 00:00:00;2005-05-01 00:00:00;2005-05-03;100;Pagado;cash;1
70;2005-06-01 00:00:00;2005-09-01 00:00:00;2005-09-20;80;Pagado;cash;1
70;2005-10-01 00:00:00;2005-11-01 00:00:00;2005-11-07;40;Pagado;cash;1
70;2005-10-01 00:00:00;2006-06-01 00:00:00;2006-07-11;180;Pagado;cash;1
70;2006-07-01 00:00:00;2006-09-01 00:00:00;2006-09-29;60;Pagado;cash;1
70;2006-10-01 00:00:00;2006-12-01 00:00:00;2006-12-22;60;Pagado;cash;1
70;2007-01-01 00:00:00;2007-08-01 00:00:00;2007-08-21;160;Pagado;cash;1
70;2007-09-01 00:00:00;2007-09-01 00:00:00;2007-10-02;20;Pagado;cash;1
70;2007-09-01 00:00:00;2007-12-01 00:00:00;2007-12-14;80;Pagado;cash;1
70;2008-01-01 00:00:00;2008-05-01 00:00:00;2008-06-19;100;Pagado;cash;1
70;2008-06-01 00:00:00;2008-07-01 00:00:00;2008-07-25;40;Pagado;cash;1
70;2008-08-01 00:00:00;2008-08-01 00:00:00;2008-09-11;20;Pagado;cash;1
70;2008-10-01 00:00:00;2008-11-01 00:00:00;2008-12-05;40;Pagado;cash;1
70;2008-12-01 00:00:00;2009-02-01 00:00:00;2009-02-27;60;Pagado;cash;1
70;2009-03-01 00:00:00;2009-07-01 00:00:00;2009-10-01;100;Pagado;cash;1
70;2009-08-01 00:00:00;2009-12-01 00:00:00;2009-11-27;100;Pagado;cash;1
70;2010-01-01 00:00:00;2010-05-01 00:00:00;2010-07-23;100;Pagado;cash;1
70;2010-06-01 00:00:00;2010-08-01 00:00:00;2010-09-13;60;Pagado;cash;1
70;2010-08-01 00:00:00;2010-09-01 00:00:00;2010-10-12;40;Pagado;cash;1
70;2010-10-01 00:00:00;2010-12-01 00:00:00;2010-12-21;60;Pagado;cash;1
70;2011-01-01 00:00:00;2011-05-01 00:00:00;2011-06-08;100;Pagado;cash;1
70;2011-06-01 00:00:00;2011-07-01 00:00:00;2011-08-08;40;Pagado;cash;1
70;2011-08-01 00:00:00;2011-12-01 00:00:00;2011-12-05;100;Pagado;cash;1
70;2012-01-01 00:00:00;2012-12-01 00:00:00;2012-11-22;240;Pagado;cash;1
70;2013-01-01 00:00:00;2013-05-01 00:00:00;2013-06-19;100;Pagado;cash;1
70;2013-06-01 00:00:00;2013-12-01 00:00:00;2013-10-10;140;Pagado;cash;1
70;2014-01-01 00:00:00;2014-02-01 00:00:00;2014-03-21;40;Pagado;cash;1
70;2014-03-01 00:00:00;2014-05-01 00:00:00;2014-03-21;60;Pagado;cash;1
70;2014-06-01 00:00:00;2014-12-01 00:00:00;2014-12-19;140;Pagado;cash;1
70;2015-06-01 00:00:00;2015-10-01 00:00:00;2015-06-08;100;Pagado;cash;1
70;2015-11-01 00:00:00;2016-03-01 00:00:00;2015-12-23;100;Pagado;cash;1
70;2016-04-01 00:00:00;2017-01-01 00:00:00;2016-11-18;200;Pagado;cash;1
70;2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-12;20;Pagado;cash;1
70;2017-03-01 00:00:00;2017-03-01 00:00:00;2017-02-16;20;Pagado;cash;1
70;2017-04-01 00:00:00;2017-04-01 00:00:00;2017-02-22;20;Pagado;cash;1
